2026-08-31 06:28:53 | INFO | ✓ 42/9000 | Queue: 415 | ✅ https://www.bedbathntable.com.sg/pillow-size-guide...
2026-08-31 06:28:54 | INFO | ✓ 43/9000 | Queue: 433 | ✅ https://www.bedbathntable.com.sg/blog...
2026-08-31 06:28:56 | INFO | ✓ 44/9000 | Queue: 433 | ✅ https://www.bedbathntable.com.sg/bath...
2026-08-31 06:28:58 | INFO | ✓ 45/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/towel...
2026-08-31 06:29:00 | INFO | ✓ 46/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/towel/bath-t...
2026-08-31 06:29:01 | INFO | ✓ 47/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/towel/bath-m...
2026-08-31 06:29:02 | INFO | ✓ 48/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/towels/beach...
2026-08-31 06:29:03 | INFO | ✓ 49/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/laundry...
2026-08-31 06:29:05 | INFO | ✓ 50/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/laundry/laun...
2026-08-31 06:29:05 | INFO | ✓ 51/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/laundry/scen...
2026-08-31 06:29:07 | INFO | ✓ 52/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/laundry/coat...
2026-08-31 06:29:09 | INFO | ✓ 53/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/laundry/soap...
2026-08-31 06:29:10 | INFO | ✓ 54/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:11 | INFO | ✓ 55/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:13 | INFO | ✓ 56/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:14 | INFO | ✓ 57/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:15 | INFO | ✓ 58/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:17 | INFO | ✓ 59/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:19 | INFO | ✓ 60/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:20 | INFO | ✓ 61/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:22 | INFO | ✓ 62/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:24 | INFO | ✓ 63/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/bath/bathroom-acc...
2026-08-31 06:29:27 | INFO | ✓ 64/9000 | Queue: 434 | ✅ https://www.bedbathntable.com.sg/sale/bath-sale...
2026-08-31 06:29:28 | INFO | ✓ 65/9000 | Queue: 445 | ✅ https://www.bedbathntable.com.sg/bath-size-guide...
2026-08-31 06:29:29 | INFO | ✓ 66/9000 | Queue: 460 | ✅ https://www.bedbathntable.com.sg/blog/how-to-choos...
2026-08-31 06:29:32 | INFO | ✓ 67/9000 | Queue: 476 | ✅ https://www.bedbathntable.com.sg/blog/the-benefits...
2026-08-31 06:29:33 | INFO | ✓ 68/9000 | Queue: 493 | ✅ https://www.bedbathntable.com.sg/blog/the-benefits...
2026-08-31 06:29:35 | INFO | ✓ 69/9000 | Queue: 492 | ⚠️ https://www.bedbathntable.com.sg/bath/towels...
2026-08-31 06:29:35 | INFO | ✓ 70/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table...
2026-08-31 06:29:36 | INFO | ✓ 71/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop...
2026-08-31 06:29:37 | INFO | ✓ 72/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/di...
2026-08-31 06:29:38 | INFO | ✓ 73/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/pl...
2026-08-31 06:29:39 | INFO | ✓ 74/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/se...
2026-08-31 06:29:40 | INFO | ✓ 75/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/ki...
2026-08-31 06:29:41 | INFO | ✓ 76/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/ch...
2026-08-31 06:29:42 | INFO | ✓ 77/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/te...
2026-08-31 06:29:43 | INFO | ✓ 78/9000 | Queue: 492 | ✅ https://www.bedbathntable.com.sg/table/tabletop/gl...
